Word          Count
lesson-book.      1
leap              1
water             1
quiver            1
fright.           1
beg               2
pardon!"          2
afraid            4
hurt              2
animal's          1
feelings.         1
didn't            4
cats."            1
"Not              2
cats!"            1
shrill,           1
passionate        1
voice.            6
_you_             2
cats,             3
me?"              2
perhaps           1
soothing          1
tone;             3
"don't            1
angry             3
yet               1
show              2
our              10
cat               3
Dinah.            1
you'd             3
fancy             1
such             16
quiet             1
thing."           1
bristling         1
really            2
offended.         1
"We               1
won't             3
talk              4
more,             4
not."             1
"We,              1
indeed!"          3
trembling         4
end               4
tail.             1
"As               4
_I_               4
subject!          1
Our               1
family            1
always            2
_hated_           1
cats--nasty,      1
vulgar            1
things!           1
Don't             1
let               1
name              7
again!"           3
Mad               1
Tea               1
Party.]           1
hurry             2
change            2
subject           2
conversation.     1
"Are              2
you--are          1
fond--of--of      1
dogs?             1
dog               1
house,            6
you!              1
kills             1
rats              1
and--oh,          1
dear!"            2
sorrowful         1
tone.             1
"I'm              6
offended          4
For               6
go,               4
commotion         1
went.             2
called           10
softly            1
"Mouse            1
Do                5
again,            7
we               12
dogs              1
either,           1
them!"            2
slowly            3
her;              3
pale,             1
"Let              2
us                4
shore             1
tell              9
history           1
you'll            1
why               3
hate              1
cats              2
dogs."            1
crowded           4
birds             6
animals           4
it;               3
Duck              1
Dodo,             3
Lory              1
Eaglet,           1
several           3
other            22
creatures.        1
whole             6
party             5
shore.            1
III--A            1
CAUCUS-RACE       1
AND               4
A                 4
LONG              1
TALE              1
They              5
indeed            1
queer-looking     1
assembled         2
bank--the         1
draggled          1
feathers,         1
their            10
fur               2
clinging          1
them,            12
dripping          1
wet,              1
cross             1
uncomfortable.    1
question,         3
course,           5
consultation      1
few               4
minutes,          1
natural           1
familiarly        1
known             1
them             13
life.             2
At                8
last             13
person            5
authority         1
out,              8
"Sit              1
listen            1
me!               1
_I'll_            1
enough!"          1
once,             3
ring,             1
middle.           1
"Ahem!"           1
important         4
air.              4
ready?            1
driest            1
know.             3
Silence           1
please!           1
'William          1
Conqueror,        1
whose             1
favored           1
pope,             1
submitted         1
English,          1
wanted            1
leaders,          1
accustomed        1
usurpation        1
conquest.         1
Edwin             1
Morcar,           1
Earls             1
Mercia            1
Northumbria'--"   1
"Ugh!"            1
Lory,             1
shiver.           1
"--'And           1
Stigand,          1
patriotic         1
archbishop        2
Canterbury,       1
advisable'--"     1
"Found            2
_what_?"          3
Duck.             1
_it_,"            1
replied           2
crossly;          1
"of               1
'it'              2
means."           1
means             5
enough,           1
thing,"           2
Duck;             1
"it's             3
frog              1
worm.             1
find?"            1
notice            6
hurriedly         2
"'--found         1
advisable         1
go               16
Edgar             1
Atheling          1
meet              3
offer             1
him               3
crown.'--How      1
dear?"            1
continued,        1
turning           6
spoke.            2
wet               1
melancholy        1
"it               1
seem              3
all."             1
"In               2
case,"            1
Dodo              4
solemnly,         1
rising            1
move              1
meeting           1
adjourn,          1
immediate         3
adoption          1
energetic         1
remedies--"       1
"Speak            1
English!"         1
Eaglet.           1
meaning           3
what's            2
believe           3
either!"          1
say,"             2
tone,             6
"is               2
Caucus-race."     1
_is_              4
Caucus-race?"     1
"Why,"            1
"the              2
explain           2
it."              1
First             2
race-course,      1
circle,           1
placed            1
there.            1
"One,             1
two,              3
three             8
away!"            3
running           4
liked             1
left              6
liked,            1
easy              2
race              2
hour              2
"The             11
over!"            1
panting           1
asking,           1
"But              4
has               5
won?"             1
answer            2
without          14
"_Everybody_      1
won,              1
_all_             1
prizes."          1
prizes?"          1
chorus            2
voices            2
asked.            1
"Why,             5
_she_,            1
course,"          1
pointing          1
finger;           1
calling           1
confused          1
way,              3
"Prizes!          1
Prizes!"          1
despair           1
pocket            1
pulled            1
comfits           1
(luckily          1
salt-water        1
it)               1
handed            2
prizes.           1
exactly           2
a-piece,          1
'round.           1
comfits;          1
caused            2
noise             3
confusion,        2
complained        1
theirs,           1
ones              1
choked            1
patted            1
back.             1
ring              1
begged            1
more.             2
"You             10
promised          1
history,          1
know,"            1
hate--C           1
D,"               1
added             6
whisper,          1
"Mine             1
sad               1
tale!"            1
sighing.          1
"It               5
tail,             2
certainly,"       1
looking          11
Mouse's           1
"but              5
call              1
sad?"             1
puzzling          1
speaking,         1
tale              1
this:--           1
"Fury             1
That              1
met               3
'Let              1
both              5
law:              1
prosecute         1
_you_.--          1
Come,             1
denial:           1
We                2
trial;            1
morning           1
do.'              1
Said              1
cur,              1
'Such             1
trial,            1
dear              2
sir,              3
With              1
jury              2
judge,            3
wasting           2
breath.'          1
'I'll             2
jury,'            1
cunning           1
old               2
Fury;             1
try               3
cause,            1
condemn           1
death.'"          1
attending!"       1
severely.         1
thinking          4
of?"              2
pardon,"          1
humbly,           1
"you              1
fifth             1
bend,             1
think?"           1
insult            1
nonsense!"        2
walking           2
away.             2
"Please           2
finish            1
story!"           1
others            2
joined            1
chorus,           1
"Yes,             1
please            5
do!"              1
shook             3
impatiently       2
quicker.          1
cat,              2
here!"            1
sensation         1
party.            1
Some              2
Canary            1
children,         1
"Come             3
away,             1
dears!            1
It's              1
bed!"             1
On                2
various           2
pretexts          1
moved             1
alone.            1
hadn't            1
mentioned         1
Dinah!            1
Nobody            2
seems             2
sure              4
she's             1
world!"           1
lonely            1
low-spirited.     1
while,            1
however,          2
footsteps         2
eagerly.          1
IV--THE           1
RABBIT            1
SENDS             1
LITTLE            1
BILL              1
Rabbit,           5
went,             2
lost              1
something;        1
paws!             1
whiskers!         1
She'll            1
executed,         1
ferrets           1
ferrets!          1
Where             2
wonder?"          2
guessed           2
good-naturedly    1
hunting           1
nowhere           1
seen--everything  1
changed           2
since             3
swim              1
pool,             1
vanished          1
completely.       1
Very              1
Mary              3
Ann,              1
_are_             1
doing             2
here?             1
Run               1
home              1
fetch             1
fan!              1
Quick,            1
now!"             2
"He               1
his              17
housemaid!"       1
he'll             1
finds             1
am!"              1
neat              1
brass             1
plate             1
"W.               1
RABBIT"           1
engraved          1
knocking          1
upstairs,         1
fear              1
lest              1
real              1
Ann               1
house             6
gloves.           1
By                3
tidy              1
room              2
window,           3
pairs             1
kid-gloves;       1
room,             1
stood             5
looking-glass.    1
uncorked          1
lips,             1
saying            1
it'll             1
for,              1
really,           1
being             2
thing!"           1
Before            1
drunk             1
bottle,           2
pressing          1
ceiling,          1
stoop             1
broken.           1
remarking,        2
"That's           5
enough--I         1
sha'n't           2
more."            2
Alas!             1
that!             1
kneel             1
floor.            1
Still             1
growing,          1
resource,         1
arm               7
window            2
chimney,          1
whatever          1
happens.          1
What              1
_will_            1
become            1
Luckily           1
magic             1
full             14
effect            1
grew              1
larger.           1
minutes           3
voice             8
outside           4
stopped           2
listen.           1
"Mary             1
Ann!              1
Ann!"             1
"Fetch            1
moment!"          1
Then              6
stairs.           1
trembled          1
till              6
forgetting        1
thousand          1
times             2
reason            2
Presently         1
inwards           1
elbow             1
pressed           2
attempt           1
proved            1
failure.          1
"Then             2
window."          1
"_That_           1
won't!"           2
Alice;            5
waiting           3
fancied           1
spread            3
snatch            2
hold              2
anything,         1
shriek            1
crash             1
broken            3
glass,            1
concluded         1
possible          1
cucumber-frame    1
sort.             1
Next              2
voice--the        1
Rabbit's--"Pat!   1
Pat!              1
you?"             4
"Sure             1
then,             2
here!             1
Digging           1
apples,           1
yer               2
honor!"           2
"Here!            2
Come              1
help              4
this!             1
Now               1
me,               2
Pat,              1
window?"          1
"Sure,            1
arm,              2
business          2
there,            1
rate;             1
silence           3
whispers          1
_two_             1
shrieks           1
sounds            2
next!"            1
pulling           1
_could_!"         1
waited            3
hearing           2
anything          5
rumbling          1
cart-wheels       1
sound             2
many              4
together.         3
words:            1
"Where's          2
ladder?           1
Bill's            1
other--Bill!      1
Here,             2
Bill!             2
Will              1
bear?--Who's      1
chimney?--Nay,    1
sha'n't!          1
_You_             1
master            1
says              1
you've            2
chimney!"         1
drew              2
chimney           2
animal            1
scratching        1
scrambling        1
above             1
sharp             3
kick              1
happen            1
next.             1
general           2
"There            1
goes              2
Bill!"            1
alone--"Catch     1
him,              1
hedge!"           1
confusion         2
voices--"Hold     1
head--Brandy      1
now--Don't        1
choke             1
him--What         1
happened          1
Last              1
feeble,           1
squeaking         1
hardly            3
know--No          1
thank             1
ye.               1
better            3
now--all          1
comes             1
Jack-in-the-box   1
sky-rocket!"      1
minute            4
silence,          1
moving            1
"A                2
barrowful         2
begin             1
with."            1
doubt,            1
shower            2
pebbles           2
rattling          1
hit               2
face.             3
noticed,          1
surprise,         2
cakes             2
lay               2
floor             1
head.             1
cakes,"           1
thought,          2
_some_            1
size."            1
swallowed         1
delighted         2
directly.         1
enough            2
crowd             3
outside.          1
rush              1
appeared,         1
safe              1
thick             1
wood.             3
Duchess          10
tucked            3
affectionately    2
Alice's."]        1
do,"              2
wandered          1
wood,             1
again;            1
suppose           2
ought             5
'What?'"          1
around            1
blades            1
grass,            2
circumstances.    1
mushroom          5
height            3
stretched         2
tiptoe            1
edge              2
immediately       1
blue              1
caterpillar,      1
top,              1
arms              4
folded,           2
quietly           2
smoking           1
hookah            3
taking            1
smallest          1
else.             1
V--ADVICE         1
FROM              1
CATERPILLAR       1
Caterpillar       5
mouth             2
addressed         1
languid,          1
"Who              3
_you_?"           2
Caterpillar.      5
replied,          2
shyly,            1
"I--I             1
know,             2
present--at       1
least             3
morning,          1
then."            1
mean              4
Caterpillar,      2
sternly.          1
"Explain          1
yourself!"        1
can't             8
_myself_,         1
afraid,           2
sir,"             2
"because          1
myself,           1
see--being        1
different         2
sizes             1
confusing."       1
gravely,          1
are,              1
first."           1
"Why?"            1
_very_            2
unpleasant        1
state             6
mind,             1
back!"            1
"I've             3
say!"             1
"Keep             1
temper,"          1
"Is               1
all?"             2
swallowing        1
anger             1
could.            1
"No,"             1
unfolded          2
arms,             1
"So               1
you're            4
changed,          1
am,               1
used--and         1
keep              3
together!"        1
want              3
be?"              1
asked             3
particular        3
size,"            1
"only             1
changing          1
often,            1
_little_          1
wouldn't          1
mind,"            1
"Three            1
wretched          1
be."              1
angrily,          1
rearing           1
itself            1
upright           1
spoke             2
high).            1
crawled           1
merely            1
"One              2
taller,           1
shorter."         1
_what_?           1
"Of               2
mushroom,"        1
aloud;            1
sight.            1
thoughtfully      1
minute,           1
broke             1
each              4
hand.             1
which?"           1
nibbled           2
right-hand        1
effect.           1
violent           1
blow              1
underneath        1
chin--it          1
foot!             1
rapidly;          1
bit.              1
closely           1
mouth;            1
swallow           1
morsel            1
left-hand         2
bit....           1
head's            1
free              7
last!"            1
see,              3
immense           1
length            1
neck,             1
rise              1
stalk             1
sea               1
green             1
leaves            2
below             1
"Where            1
_have_            1
shoulders         1
to?               1
oh,               1
hands,            2
bend              1
easily            2
direction,        1
serpent.          1
succeeded         2
curving           1
graceful          1
zigzag            1
dive              1
hiss              1
draw              1
hurry--a          1
pigeon            1
flown             1
beating           1
violently         2
wings.            1
"Serpent!"        1
Pigeon.           1
serpent!"         1
indignantly.      1
alone!"           1
roots             1
trees,            1
banks,            1
hedges,"          1
Pigeon            2
serpents!         1
There's           1
pleasing          1
puzzled.          1
wasn't            1
hatching          1
eggs,"            1
Pigeon,           2
look-out          1
serpents,         1
night             1
day!              1
I'd               1
taken             1
highest           1
tree              3
wood,"            1
continued         1
raising           1
shriek,           1
last,             1
needs             1
wriggling         1
sky!              1
Ugh,              1
Serpent!"         1
serpent,          1
you!"             1
a--I'm            2
girl,"            1
doubtfully,       1
remembered        2
number            4
changes           1
gone              4
day.              1
"You're           4
eggs,             2
_that_            4
enough,"          1
Pigeon;           1
does              2
matter            1
girl              1
serpent?"         1
matters           1
_me_,"            1
hastily;          1
happens,          1
was,              1
shouldn't         1
_yours_--I        1
raw."             1
then!"            2
sulky             1
settled           3
nest.             1
crouched          1
trees             3
entangled         2
branches,         1
stop              1
untwist           1
awhile            1
held              2
pieces            1
carefully,        1
nibbling          2
taller            1
shorter,          1
bringing          1
usual             1
height.           1
strange           2
first.            1
beautiful         2
garden--how       1
done,             1
place,            1
four              1
"Whoever          1
lives             1
there,"           2
"it'll            1
_this_            2
size;             1
why,              1
frighten          1
wits!"            1
venture           1
brought           1
VI--PIG           1
PEPPER            1
footman           2
livery            1
wood              1
(judging          1
only,             1
fish)--and        1
rapped            1
loudly            1
knuckles.         1
livery,           1
round             1
frog.             1
Fish-Footman      2
producing         1
letter,           2
saying,           1
solemn            2
"For              1
Duchess.          1
An                2
invitation        2
Queen            14
play              6
croquet."         2
Frog-Footman      1
repeated,         1
"From             1
Queen.            6
bowed             2
curls             1
gone,             1
ground            2
staring           1
stupidly          1
sky.              1
timidly           1
knocked.          1
"There's          4
knocking,"        1
Footman,          1
reasons.          1
because           3
are;              1
secondly,         1
they're           3
inside,           1
most              4
extraordinary     1
within--a         1
constant          2
howling           3
sneezing,         1
crash,            1
dish              2
kettle            1
pieces.           1
in?"              1
"_Are_            1
Footman.          1
know."            2
in.               1
kitchen,          1
smoke             1
other;            2
three-legged      1
stool             1
nursing           1
baby;             1
cook              4
leaning           1
fire,             2
stirring          1
caldron           2
soup.             1
pepper            1
soup!"            1
sneezing.         1
Even              1
sneezed           1
occasionally;     1
baby,             1
sneezing          2
alternately       1
moment's          1
pause.            1
creatures         2
kitchen           1
sneeze            1
grinning          1
ear               1
ear.              2
me,"              2
timidly,          3
"why              2
grins             1
"It's             3
Cheshire-Cat,"    2
that's            2
why."             1
Cheshire-Cats     1
grinned;          1
_could_           1
grin,"            1
much,"            2
fact."            1
soup              1
throwing          1
within            5
baby--the         1
fire-irons        1
first;            1
saucepans,        1
plates            1
dishes.           1
baby              3
already           2
impossible        1
blows             1
not.              1
_please_          1
doing!"           1
jumping           2
agony             1
terror.           1
nurse             1
bit,              1
like!"            1
flinging          1
ready             1
croquet           3
Queen,"           1
room.             1
caught            2
difficulty,       1
queer-shaped      1
creature          2
directions.       1
child             1
"they're          1
kill              1
two.              1
Wouldn't          1
murder            1
behind?"          1
loud              1
grunted           2
reply.            2
turn              1
pig,              1
dear,"            1
"I'll             1
you.              1
Mind              1
"Now,             2
creature,         1
home?"            1
alarm.            1
_no_              1
mistake           1
it--it            1
neither           2
less              1
pig;              1
relieved          1
trot              1
startled          1
seeing            1
Cheshire-Cat      1
bough             1
yards             1
Cat               3
grinned           1
"Cheshire-Puss,"  1
"would            1
here?"            1
direction,"       2
waving            2
paw               1
"lives            2
Hatter;           2
paw,              1
March             8
Hare.             3
Visit             1
like;             1
mad."             1
mad               2
people,"          1
remarked.         1
that,"            2
Cat;              1
"we're            1
here.             1
to-day?"          1
haven't           2
invited           1
yet."             1
"You'll           1
Cat,              1
vanished.         1
farther           1
sight             1
Hare;             1
mushroom.         1
VII--A            1
MAD               1
TEA-PARTY         1
front             2
Hare              3
Hatter            6
tea               2
Dormouse          4
between           1
fast              1
asleep.           1
one,              1
together          1
corner            1
"No               1
room!             1
No                1
room!"            2
_plenty_          1
indignantly,      1
arm-chair         1
table.            2
wide              2
"Why              1
raven             1
writing-desk?"    1
they've           1
begun             1
asking            2
riddles--I        1
guess             1
aloud.            1
"Do               1
it?"              1
"Exactly          1
so,"              2
mean,"            1
on.               2
replied;          1
"at               1
least--at         1
say--that's       1
thing,            1
Dormouse,         1
sleep,            1
"that             3
'I                2
breathe           1
sleep'            1
sleep             2
breathe!'"        1
you,"             1
Hatter,           1
poured            1
nose.             1
course;           1
remark            1
myself."          1
"Have             1
riddle            1
yet?"             1
up,"              1
replied.          1
"What's           1
answer?"          1
slightest         1
idea,"            1
Hatter.           2
"Nor              1
I,"               1
weary             1
sigh.             1
time,"            1
"than             1
riddles           1
answers."         1
"Take             1
tea,"             1
earnestly.        1
yet,"             2
"so               1
_less_,"          1
_more_            1
nothing."         1
asleep            1
instantly         2
going,            1
though            1
twice;            1
tea-pot.          1
Trial             1
Knave             5
Hearts.]          1
"At               1
_there_           1
picked            2
stupidest         1
tea-party         1
life!"            1
leading           1
curious!"         1
once."            1
Taking            1
unlocked          1
piece             4
pocket)           1
high;             1
passage;          1
_then_--she       1
flower-beds       1
fountains.        1
VIII--THE         1
QUEEN'S           1
CROQUET           1
GROUND            1
rose-tree         1
entrance          1
garden;           1
roses             1
white,            1
gardeners         2
busily            1
painting          2
red.              1
chanced           1
watching          1
please,"          1
roses?"           1
Five              1
Seven             1
nothing,          1
Two.              1
Two               1
fact              1
Miss,             2
_red_             1
rose-tree,        1
mistake;          1
heads             2
cut               1
we're             1
best,             1
afore             1
comes,            1
to--"             1
Five,             1
Queen!            1
Queen!"           1
threw             1
themselves        2
flat              1
faces.            1
eager             1
soldiers          3
carrying          2
clubs,            1
corners:          1
courtiers;        1
ornamented        2
diamonds.         1
royal             1
children;         1
hearts.           1
guests,           1
mostly            1
Kings             1
Queens,           1
recognized        1
Rabbit.           3
Hearts,           4
King's            1
crown             2
crimson           1
velvet            1
cushion;          1
grand             1
procession        2
KING              1
QUEEN             1
HEARTS.           1
opposite          1
severely,         1
this?"            1
smiled            1
"My               1
Your              4
Majesty,"         4
politely;         1
pack              4
cards,            1
all!"             1
"Can              1
croquet?"         1
shouted           4
evidently         1
meant             2
"Yes!"            1
loudly.           2
roared            1
"It's--it's       1
fine              1
day!"             1
peeping           1
"Very,"           1
Duchess?"         1
"Hush!            1
Hush!"            1
"She's            1
execution."       1
for?"             1
"She              1
boxed             1
Queen's           1
ears--"           1
began.            3
"Get              1
places!"          1
thunder,          1
directions,       1
tumbling          1
game              2
croquet-ground    1
life;             1
ridges            1
furrows.          1
balls             1
live              2
hedgehogs,        1
mallets           1
flamingos         1
double            1
stand             1
arches.           1
players           2
played            1
turns,            1
quarrelling       1
fighting          1
hedgehogs;        1
short             1
furious           1
passion           1
stamping          2
shouting,         2
"Off              5
head!"            5
minute.           1
"They're          1
dreadfully        2
fond              1
beheading         1
here,"            1
alive!"           1
escape,           1
appearance        1
herself;          1
"now              1
somebody          1
to."              1
on?"              1
Cat.              1
fairly,"          1
complaining       1
quarrel           1
oneself           1
speak--and        1
particular."      1
Queen?"           1
all,"             1
search            2
hedgehog.         1
hedgehog          1
engaged           1
fight             1
hedgehog,         1
excellent         1
opportunity       2
croqueting        1
difficulty        1
flamingo          2
where             4
helpless          1
fly               1
tree.             1
escape            1
(who              1
prison).          1
pleasant          1
temper.           1
startled,         1
something,        1
forget            1
talk."            1
game's            1
keeping           3
conversation      1
little.           1
"'Tis             1
Duchess;          1
